seed,variant,split,n_obs,n_days,rel_score,median_abs_error,q90_abs_error,daily_q90_abs_error_median,daily_q90_abs_error_q90,daily_q90_abs_error_max,actual_abs_q90,prediction_abs_q90,prediction_actual_abs_q90_ratio,directional_accuracy,spike_days_ge_5pct,spike_rate_ge_5pct,spike_days_ge_7pct,spike_rate_ge_7pct,spike_days_ge_8pct,spike_rate_ge_8pct
43,plain_global_instance_rel,val,60468,659,0.00447697881640885,0.01246836875,0.05010445294000001,0.03669036000000004,0.06570958412000001,0.08183382739999999,0.05022141510000003,0.00585045111,0.11649315532727784,0.4955844413574122,171,0.25948406676783003,36,0.054628224582701064,2,0.0030349013657056147
43,plain_global_rel,val,60468,659,0.017189077193335178,0.012453545715,0.04917587808000003,0.03663546820000002,0.06497015704000002,0.09361319,0.05022141510000003,0.007134358780000003,0.1420580994341595,0.5046966990805054,162,0.24582701062215478,39,0.05918057663125948,14,0.021244309559939303
43,plain_global_weighted_mild,val,60468,659,0.029684095295879565,0.0124165262,0.048308059400000006,0.03697932079999999,0.06459990736,0.10507994500000001,0.05022141510000003,0.007509684910000004,0.1495315274379833,0.5092114837600052,158,0.23975720789074356,40,0.06069802731411229,10,0.015174506828528073
43,plain_global_weighted_mild_tail35_p05,val,60468,659,0.025796529458296247,0.012537400950000001,0.0483593494,0.037111661700000007,0.06405257420000002,0.10007173250000001,0.05022141510000003,0.008452205600000002,0.1682988339370787,0.5076073294965933,162,0.24582701062215478,37,0.05614567526555387,11,0.01669195751138088
52,plain_global_instance_rel,val,60468,659,0.006127529535743914,0.0125113473,0.04989407954000001,0.036924536000000015,0.06670115089999999,0.0854276756,0.05022141510000003,0.0047668592800000015,0.09491686505663595,0.4925415095587749,169,0.2564491654021244,37,0.05614567526555387,1,0.0015174506828528073
52,plain_global_rel,val,60468,659,0.015389949408107784,0.012438553315,0.04934147872000002,0.03723590090000001,0.06585309696000001,0.096236988,0.05022141510000003,0.0068332206,0.13606188886541346,0.49631209896143413,162,0.24582701062215478,38,0.057663125948406675,9,0.013657056145675266
52,plain_global_weighted_mild,val,60468,659,0.027054649941365416,0.01249575055,0.048347814765000004,0.0368457529,0.06389608840000001,0.121877475,0.05022141510000003,0.007469601110000001,0.14873338584997373,0.5040517298405768,160,0.24279210925644917,41,0.0622154779969651,17,0.025796661608497723
52,plain_global_weighted_mild_tail35_p05,val,60468,659,0.027512996420494762,0.01270864465,0.047887477022000025,0.03707022880000001,0.06313528728000001,0.10515791520000001,0.05022141510000003,0.009637979000000007,0.1919097456893444,0.5043990209697692,161,0.24430955993930198,25,0.03793626707132018,9,0.013657056145675266
71,plain_global_instance_rel,val,60468,659,0.00889475645368698,0.01240485473775,0.049898474810000024,0.0374257346,0.06554001440000001,0.086148669,0.05022141510000003,0.006691077700000001,0.13323156439691794,0.49163193755374746,176,0.26707132018209406,35,0.05311077389984825,3,0.004552352048558422
71,plain_global_rel,val,60468,659,0.017442161424705116,0.0123974946,0.04926890316000001,0.036614248300000006,0.0660576239,0.095336558,0.05022141510000003,0.00618953529,0.12324493998577106,0.4935668452735331,166,0.251896813353566,44,0.06676783004552352,16,0.024279210925644917
71,plain_global_weighted_mild,val,60468,659,0.0039057739088914634,0.01267411325,0.049736020600000014,0.036809217,0.06523154400000002,0.079917405,0.05022141510000003,0.004560730260000001,0.09081246020086756,0.48418998478534103,158,0.23975720789074356,45,0.06828528072837632,0,0.0
71,plain_global_weighted_mild_tail35_p05,val,60468,659,0.014817542038234932,0.012569437599999999,0.04912285745,0.0372629097,0.06476936879999999,0.09083735,0.05022141510000003,0.0075111279900000015,0.14956026179357892,0.49639478732552755,169,0.2564491654021244,32,0.048558421851289835,4,0.006069802731411229
